antecedents,consequents,support,confidence,lift
large_trade & late_filing,opportunistic,0.07341231307049913,0.5995241871530531,1.587937263194995
large_trade,opportunistic,0.2252864633909497,0.5396603861363108,1.4293782552550744
large_trade & late_filing & sell_transaction,opportunistic,0.053893959992231504,0.5362318840579711,1.4202973101926404
large_dollar & large_trade & late_filing,opportunistic,0.03796853758011264,0.510443864229765,1.3519935477978702
large_dollar & large_trade,opportunistic,0.13750242765585552,0.5077088562208678,1.344749434506815
coordinated & large_trade,opportunistic,0.08584191105068946,0.5063001145475373,1.3410181531920111
late_filing,opportunistic,0.11837249951446883,0.5018526142445451,1.3292382256919562
