ticker,announcement_date
AAPL,2015-04-28
AAPL,2015-07-20
AAPL,2015-07-22
AAPL,2015-10-26
AAPL,2015-10-28
AAPL,2016-01-25
AAPL,2016-01-27
AAPL,2016-04-25
AAPL,2016-04-27
AAPL,2016-07-25
AAPL,2016-07-27
AAPL,2016-10-24
AAPL,2016-10-26
AAPL,2017-01-30
AAPL,2017-02-01
AAPL,2017-05-01
AAPL,2017-05-03
AAPL,2017-07-31
AAPL,2017-08-02
AAPL,2017-11-01
AAPL,2017-11-03
AAPL,2018-01-31
AAPL,2018-02-02
AAPL,2018-04-30
AAPL,2018-05-02
AAPL,2018-07-30
AAPL,2018-08-01
AAPL,2018-10-31
AAPL,2018-11-05
AAPL,2019-01-28
AAPL,2019-01-30
AAPL,2019-04-29
AAPL,2019-05-01
AAPL,2019-07-29
AAPL,2019-07-31
AAPL,2019-10-29
AAPL,2019-10-31
AAPL,2020-01-27
AAPL,2020-01-29
AAPL,2020-04-29
AAPL,2020-05-01
AAPL,2020-07-29
AAPL,2020-07-31
AAPL,2020-10-28
AAPL,2020-10-30
AAPL,2021-01-26
AAPL,2021-01-28
AAPL,2021-04-27
AAPL,2021-04-29
AAPL,2021-07-26
AAPL,2021-07-28
AAPL,2021-10-27
AAPL,2021-10-29
AAPL,2022-01-26
AAPL,2022-01-28
AAPL,2022-04-27
AAPL,2022-04-29
AAPL,2022-07-27
AAPL,2022-07-29
AAPL,2022-10-26
AAPL,2022-10-28
AAPL,2023-02-01
AAPL,2023-02-03
AAPL,2023-05-03
AAPL,2023-05-05
AAPL,2023-08-02
AAPL,2023-08-04
AAPL,2023-11-01
AAPL,2023-11-03
AAPL,2024-01-31
AAPL,2024-02-02
AAPL,2024-05-01
AAPL,2024-05-03
AAPL,2024-07-31
AAPL,2024-08-02
AAPL,2024-10-30
AAPL,2024-11-01
AAPL,2025-01-29
AAPL,2025-01-31
AAPL,2025-04-30
AAPL,2025-05-02
AAPL,2025-08-01
AAPL,2025-10-31
AAPL,2026-01-30
ABBV,2017-02-17
ABBV,2017-05-05
ABBV,2017-08-07
ABBV,2017-11-07
ABBV,2018-02-16
ABBV,2018-05-04
ABBV,2018-08-07
ABBV,2018-11-07
ABBV,2019-02-27
ABBV,2019-05-03
ABBV,2019-08-05
ABBV,2019-11-06
ABBV,2020-02-21
ABBV,2020-05-08
ABBV,2020-08-04
ABBV,2020-11-04
ABBV,2021-02-19
ABBV,2021-05-07
ABBV,2021-08-02
ABBV,2021-11-02
ABBV,2022-02-18
ABBV,2022-05-06
ABBV,2022-08-04
ABBV,2022-11-04
ABBV,2023-02-17
ABBV,2023-05-05
ABBV,2023-08-07
ABBV,2023-11-06
ABBV,2024-02-20
ABBV,2024-05-03
ABBV,2024-08-07
ABBV,2024-11-04
ABBV,2025-02-14
ABBV,2025-05-09
ABBV,2025-08-04
ABBV,2025-11-04
ABBV,2026-02-20
ACN,2023-03-23
ACN,2023-06-22
ACN,2023-10-12
ACN,2023-12-19
ACN,2024-03-21
ACN,2024-06-20
ACN,2024-10-10
ACN,2024-12-19
ACN,2025-03-20
ACN,2025-06-20
ACN,2025-10-10
ACN,2025-12-18
ACN,2026-03-19
ADBE,2017-09-27
ADBE,2018-01-22
ADBE,2018-03-28
ADBE,2018-06-27
ADBE,2018-09-26
ADBE,2019-01-25
ADBE,2019-03-27
ADBE,2019-06-26
ADBE,2019-09-26
ADBE,2020-01-21
ADBE,2020-03-25
ADBE,2020-06-24
ADBE,2020-09-23
ADBE,2021-01-15
ADBE,2021-03-31
ADBE,2021-06-30
ADBE,2021-09-29
ADBE,2022-01-21
ADBE,2022-03-30
ADBE,2022-06-29
ADBE,2022-09-28
ADBE,2023-01-17
ADBE,2023-03-29
ADBE,2023-06-28
ADBE,2023-09-27
ADBE,2024-01-17
ADBE,2024-03-27
ADBE,2024-06-26
ADBE,2024-09-25
ADBE,2025-01-13
ADBE,2025-03-26
ADBE,2025-06-25
ADBE,2025-09-24
ADBE,2026-01-15
ALL,2017-11-01
ALL,2018-02-26
ALL,2018-05-01
