abnormal_threshold,confidence_sources_required,rows,informed_rows,informed_pct,coverage_pct
0.03,1,724,197,27.209944751381215,98.06629834254143
0.05,1,724,84,11.602209944751381,98.06629834254143
0.08,1,724,42,5.801104972375691,98.06629834254143
0.1,1,724,13,1.7955801104972375,98.06629834254143
0.12,1,724,2,0.2762430939226519,98.06629834254143
0.15,1,724,1,0.13812154696132595,98.06629834254143
0.03,2,724,0,0.0,98.06629834254143
0.05,2,724,0,0.0,98.06629834254143
0.08,2,724,0,0.0,98.06629834254143
0.1,2,724,0,0.0,98.06629834254143
0.12,2,724,0,0.0,98.06629834254143
0.15,2,724,0,0.0,98.06629834254143
