date,close
2024-03-22,244.97
2024-03-25,243.85
2024-03-26,240.69
2024-03-27,244.63
2024-03-28,245.93
2024-04-01,243.3
2024-04-02,242.53
2024-04-03,241.55
2024-04-04,240.69
2024-04-05,242.01
2024-04-08,240.29
2024-04-09,240.79
2024-04-10,236.85
2024-04-11,236.16
2024-04-12,234.4
2024-04-15,233.94
2024-04-16,231.26
2024-04-17,229.23
2024-04-18,229.81
2024-04-19,232.07
2024-04-22,234.47
2024-04-23,236.29
2024-04-24,231.98
2024-04-25,243.55
2024-04-26,242.79
2024-04-29,240.95
2024-04-30,237.16
2024-05-01,234.96
2024-05-02,237.69
2024-05-03,240.36
2024-05-06,239.21
2024-05-07,242.38
2024-05-08,245.9
2024-05-09,246.61
2024-05-10,247.4
2024-05-13,245.68
2024-05-14,244.94
2024-05-15,246.54
2024-05-16,245.9
2024-05-17,244.97
2024-05-20,243.63
2024-05-21,234.96
2024-05-22,234.71
2024-05-23,232.71
2024-05-24,232.05
2024-05-28,229.01
2024-05-29,225.88
2024-05-30,229.24
2024-05-31,232.82
2024-06-03,228.32
2024-06-04,227.62
2024-06-05,227.41
2024-06-06,228.31
2024-06-07,227.97
2024-06-10,228.95
2024-06-11,227.41
2024-06-12,226.47
2024-06-13,222.12
2024-06-14,222.1
2024-06-17,221.38
2024-06-18,222.58
2024-06-20,225.17
2024-06-21,226.11
2024-06-24,226.36
2024-06-25,224.06
2024-06-26,223.61
2024-06-27,223.47
2024-06-28,226.26
2024-07-01,224.86
2024-07-02,225.5
2024-07-03,225.57
2024-07-05,225.17
2024-07-08,223.39
2024-07-09,221.78
2024-07-10,224.41
2024-07-11,228.72
2024-07-12,230.22
2024-07-15,235.99
2024-07-16,243.06
2024-07-17,243.89
2024-07-18,243.01
2024-07-19,242.32
2024-07-22,243.27
2024-07-23,239.5
2024-07-24,237.38
2024-07-25,235.35
2024-07-26,240.36
2024-07-29,242.15
2024-07-30,245.43
2024-07-31,246.73
2024-08-01,244.47
2024-08-02,239.97
2024-08-05,234.87
2024-08-06,238.55
2024-08-07,236.84
2024-08-08,240.54
2024-08-09,237.52
2024-08-12,236.75
2024-08-13,237.27
2024-08-14,241.22
2024-08-15,243.71
2024-08-16,244.53
2024-08-19,246.07
2024-08-20,246.5
2024-08-21,245.73
2024-08-22,244.32
2024-08-23,246.85
2024-08-26,247.84
2024-08-27,250.35
2024-08-28,252.67
2024-08-29,253.2
2024-08-30,256.09
2024-09-03,255.21
2024-09-04,255.7
2024-09-05,251.53
2024-09-06,249.63
2024-09-09,251.11
2024-09-10,252.58
2024-09-11,247.5
2024-09-12,248.89
2024-09-13,249.12
2024-09-16,252.43
2024-09-17,253.55
2024-09-18,251.2
2024-09-19,248.44
2024-09-20,245.39
2024-09-23,244.0
2024-09-24,248.96
2024-09-25,245.5
2024-09-26,243.23
2024-09-27,244.22
2024-09-30,246.48
2024-10-01,245.55
2024-10-02,243.35
2024-10-03,240.63
2024-10-04,238.86
2024-10-07,236.87
2024-10-08,237.56
2024-10-09,237.68
2024-10-10,238.82
2024-10-11,242.31
2024-10-14,245.27
2024-10-15,245.79
2024-10-16,248.1
2024-10-17,241.72
2024-10-18,244.1
2024-10-21,240.35
2024-10-22,241.45
2024-10-23,241.35
2024-10-24,230.75
2024-10-25,230.3
2024-10-28,231.98
2024-10-29,231.99
2024-10-30,232.17
2024-10-31,232.07
2024-11-01,232.69
2024-11-04,229.91
2024-11-05,233.87
2024-11-06,248.49
2024-11-07,242.56
2024-11-08,241.49
2024-11-11,241.95
2024-11-12,238.91
2024-11-13,240.41
2024-11-14,235.58
2024-11-15,235.57
2024-11-18,234.41
2024-11-19,233.29
2024-11-20,233.56
2024-11-21,239.02
2024-11-22,242.39
2024-11-25,249.32
2024-11-26,245.63
2024-11-27,245.23
2024-11-29,244.66
2024-12-02,240.78
2024-12-03,236.99
2024-12-04,235.0
2024-12-05,234.63
2024-12-06,233.57
2024-12-09,233.54
2024-12-10,237.09
2024-12-11,233.78
2024-12-12,233.71
2024-12-13,234.98
2024-12-16,232.89
2024-12-17,229.88
2024-12-18,224.54
2024-12-19,223.15
2024-12-20,226.32
2024-12-23,227.13
2024-12-24,229.75
2024-12-26,230.23
2024-12-27,229.93
2024-12-30,227.79
2024-12-31,228.04
2025-01-02,229.12
2025-01-03,231.5
2025-01-06,230.01
2025-01-07,230.54
2025-01-08,231.82
2025-01-10,225.21
2025-01-13,226.76
2025-01-14,229.38
2025-01-15,230.86
2025-01-16,234.89
2025-01-17,234.26
2025-01-21,236.73
2025-01-22,235.8
2025-01-23,248.05
2025-01-24,248.78
2025-01-27,254.42
2025-01-28,249.16
2025-01-29,249.55
2025-01-30,249.92
2025-01-31,247.79
2025-02-03,243.02
2025-02-04,243.5
2025-02-05,244.48
2025-02-06,243.51
2025-02-07,242.08
2025-02-10,244.33
2025-02-11,247.73
2025-02-12,248.51
2025-02-13,250.97
2025-02-14,249.22
2025-02-18,251.17
2025-02-19,247.06
2025-02-20,247.65
2025-02-21,245.55
2025-02-24,242.33
2025-02-25,245.89
2025-02-26,245.48
2025-02-27,245.07
2025-02-28,246.69
2025-03-03,245.81
2025-03-04,241.52
2025-03-05,243.61
2025-03-06,245.27
2025-03-07,249.31
2025-03-10,248.29
2025-03-11,237.78
2025-03-12,237.49
2025-03-13,234.29
2025-03-14,237.53
2025-03-17,237.86
2025-03-18,237.09
2025-03-19,236.39
2025-03-20,234.79
2025-03-21,233.88
2025-03-24,235.2
2025-03-25,235.79
2025-03-26,238.03
2025-03-27,235.97
2025-03-28,232.15
2025-03-31,236.24
2025-04-01,237.17
2025-04-02,238.46
2025-04-03,223.97
2025-04-04,213.26
2025-04-07,209.97
2025-04-08,208.27
2025-04-09,223.53
2025-04-10,219.32
2025-04-11,218.59
2025-04-14,222.27
2025-04-15,220.08
2025-04-16,216.6
2025-04-17,220.26
2025-04-21,216.05
2025-04-22,216.9
2025-04-23,219.78
2025-04-24,215.45
2025-04-25,213.29
2025-04-28,212.61
2025-04-29,214.54
2025-04-30,215.66
2025-05-01,214.08
2025-05-02,218.29
2025-05-05,216.53
2025-05-06,213.2
2025-05-07,213.85
2025-05-08,216.84
2025-05-09,216.32
2025-05-12,230.87
2025-05-13,228.25
2025-05-14,228.34
2025-05-15,230.85
2025-05-16,231.42
2025-05-19,229.5
2025-05-20,228.33
2025-05-21,223.62
2025-05-22,222.87
2025-05-23,222.11
2025-05-27,224.35
2025-05-28,222.18
2025-05-29,222.51
2025-05-30,221.66
2025-06-02,218.89
2025-06-03,221.78
2025-06-04,220.87
2025-06-05,220.65
2025-06-06,223.43
2025-06-09,224.14
2025-06-10,226.6
2025-06-11,225.72
2025-06-12,225.49
2025-06-13,223.37
2025-06-16,224.65
2025-06-17,220.59
2025-06-18,222.01
2025-06-20,222.51
2025-06-23,225.88
2025-06-24,227.91
2025-06-25,226.81
2025-06-26,229.39
2025-06-27,231.41
2025-06-30,230.08
2025-07-01,235.57
2025-07-02,237.16
2025-07-03,236.28
2025-07-07,235.35
2025-07-08,236.54
2025-07-09,236.49
2025-07-10,237.0
2025-07-11,235.1
2025-07-14,233.31
2025-07-15,231.14
2025-07-16,231.18
2025-07-17,227.49
2025-07-18,224.87
2025-07-21,225.85
2025-07-22,229.24
2025-07-23,231.0
2025-07-24,220.52
2025-07-25,224.74
2025-07-28,229.24
2025-07-29,223.77
2025-07-30,225.28
2025-07-31,221.97
2025-08-01,219.4
2025-08-04,222.06
2025-08-05,222.97
2025-08-06,225.46
2025-08-07,222.66
2025-08-08,222.24
2025-08-11,219.65
2025-08-12,218.8
2025-08-13,223.18
2025-08-14,221.52
2025-08-15,220.78
2025-08-18,220.08
2025-08-19,223.77
2025-08-20,225.68
2025-08-21,225.3
2025-08-22,227.85
2025-08-25,223.32
2025-08-26,222.74
2025-08-27,220.95
2025-08-28,222.35
2025-08-29,223.57
2025-09-02,221.99
2025-09-03,221.76
2025-09-04,223.06
2025-09-05,220.31
2025-09-08,217.26
2025-09-09,216.05
2025-09-10,215.19
2025-09-11,216.04
2025-09-12,214.91
2025-09-15,216.25
2025-09-16,216.0
2025-09-17,217.17
2025-09-18,220.36
2025-09-19,220.61
2025-09-22,225.85
2025-09-23,227.98
2025-09-24,230.36
2025-09-25,232.0
2025-09-26,235.2
2025-09-29,236.18
2025-09-30,236.37
2025-10-01,234.74
2025-10-02,234.52
2025-10-03,236.8
2025-10-06,237.41
2025-10-07,231.86
2025-10-08,232.65
2025-10-09,231.54
2025-10-10,225.45
2025-10-13,225.85
2025-10-14,227.08
2025-10-15,225.72
2025-10-16,224.04
2025-10-17,226.04
2025-10-20,227.3
2025-10-21,226.54
2025-10-22,225.24
2025-10-23,220.04
2025-10-24,216.61
2025-10-27,218.23
2025-10-28,217.59
2025-10-29,216.37
2025-10-30,218.83
2025-10-31,220.37
2025-11-03,218.82
2025-11-04,220.91
2025-11-05,217.38
2025-11-06,217.99
2025-11-07,221.48
2025-11-10,223.88
2025-11-11,224.8
2025-11-12,223.55
2025-11-13,221.48
2025-11-14,223.02
2025-11-17,221.0
2025-11-18,220.82
2025-11-19,221.17
2025-11-20,221.21
2025-11-21,226.22
2025-11-24,224.5
2025-11-25,229.13
2025-11-26,230.66
2025-11-28,231.83
2025-12-01,231.36
2025-12-02,232.24
2025-12-03,235.23
2025-12-04,237.29
2025-12-05,235.31
2025-12-08,235.44
2025-12-09,231.56
2025-12-10,235.46
2025-12-11,236.12
2025-12-12,239.95
2025-12-15,240.47
2025-12-16,235.88
2025-12-17,236.74
2025-12-18,234.42
2025-12-19,234.23
2025-12-22,234.61
2025-12-23,234.15
2025-12-24,235.05
2025-12-26,233.44
2025-12-29,234.53
2025-12-30,233.06
2025-12-31,231.32
2026-01-02,231.91
2026-01-05,231.97
2026-01-06,233.62
2026-01-07,224.48
2026-01-08,229.85
2026-01-09,228.44
2026-01-12,229.5
2026-01-13,229.29
2026-01-14,227.14
2026-01-15,230.51
2026-01-16,229.49
