date,close
2019-12-09,49.0
2019-12-10,47.55
2019-12-11,47.73
2019-12-12,47.3
2019-12-13,49.41
2019-12-16,49.45
2019-12-17,48.39
2019-12-18,50.14
2019-12-19,49.47
2019-12-20,49.49
2019-12-23,47.85
2019-12-24,47.75
2019-12-26,50.03
2019-12-27,48.92
2019-12-30,50.03
2019-12-31,49.87
2020-01-02,49.44
2020-01-03,50.75
2020-01-06,55.11
2020-01-07,54.75
2020-01-08,55.66
2020-01-09,55.94
2020-01-10,57.2
2020-01-13,58.97
2020-01-14,59.24
2020-01-15,60.25
2020-01-16,62.24
2020-01-17,63.45
2020-01-21,62.24
2020-01-22,62.57
2020-01-23,61.55
2020-01-24,59.25
2020-01-27,58.06
2020-01-28,59.07
2020-01-29,60.26
2020-01-30,62.45
2020-01-31,61.09
2020-02-03,61.08
2020-02-04,63.555
2020-02-05,61.815
2020-02-06,62.19
2020-02-07,62.09
2020-02-10,63.3
2020-02-11,65.19
2020-02-12,65.08
2020-02-13,65.31
2020-02-14,64.85
2020-02-18,66.04
2020-02-19,66.03
2020-02-20,63.38
