date,close
2021-10-18,105.52
2021-10-19,107.72
2021-10-20,105.56
2021-10-21,112.67
2021-10-22,120.03
2021-10-25,121.9
2021-10-26,108.94
2021-10-27,105.21
2021-10-28,107.8
2021-10-29,112.2
2021-11-01,115.72
2021-11-02,119.01
2021-11-03,113.75
2021-11-04,119.03
2021-11-05,123.54
2021-11-08,130.88
2021-11-09,130.81
2021-11-10,128.66
2021-11-11,121.74
2021-11-12,125.0
2021-11-15,119.55
2021-11-16,121.63
2021-11-17,119.05
2021-11-18,115.56
2021-11-19,112.01
2021-11-22,102.55
2021-11-23,94.79
2021-11-24,96.85
2021-11-26,95.99
2021-11-29,100.02
2021-11-30,96.54
2021-12-01,89.32
2021-12-02,91.23
2021-12-03,88.0
2021-12-06,89.16
2021-12-07,81.74
2021-12-08,84.32
2021-12-09,76.92
2021-12-10,75.0
2021-12-13,72.75
2021-12-14,77.16
2021-12-15,82.1
2021-12-16,77.11
2021-12-17,85.69
2021-12-20,92.86
2021-12-21,94.84
2021-12-22,93.72
2021-12-23,94.27
2021-12-27,94.21
2021-12-28,92.35
2021-12-29,90.85
2021-12-30,89.21
2021-12-31,87.0
2022-01-03,80.57
2022-01-04,77.99
2022-01-05,68.87
2022-01-06,69.94
2022-01-07,70.69
2022-01-10,72.9
2022-01-11,73.84
2022-01-12,70.97
2022-01-13,65.53
2022-01-14,64.06
2022-01-18,60.22
2022-01-19,59.38
2022-01-20,61.04
2022-01-21,59.91
2022-01-24,60.12
2022-01-25,55.7
2022-01-26,57.74
2022-01-27,60.4
2022-01-28,60.99
2022-01-31,64.01
2022-02-01,67.56
2022-02-02,64.02
2022-02-03,61.61
2022-02-04,72.4
2022-02-07,72.21
2022-02-08,74.4
2022-02-09,78.7
2022-02-10,75.98
2022-02-11,71.9
2022-02-14,71.56
2022-02-15,75.5
2022-02-16,72.91
2022-02-17,66.81
2022-02-18,61.28
2022-02-22,58.55
2022-02-23,54.99
2022-02-24,58.15
2022-02-25,56.87
2022-02-28,58.27
2022-03-01,54.39
2022-03-02,55.48
2022-03-03,48.99
2022-03-04,44.74
2022-03-07,37.85
2022-03-08,39.5
2022-03-09,40.6
2022-03-10,39.33
2022-03-11,35.5
2022-03-14,33.1
2022-03-15,35.67
2022-03-16,42.74
2022-03-17,49.4
2022-03-18,62.79
2022-03-21,57.05
2022-03-22,56.97
2022-03-23,54.19
2022-03-24,52.76
2022-03-25,50.55
2022-03-28,53.76
2022-03-29,57.63
2022-03-30,53.9
2022-03-31,54.45
2022-04-01,54.68
2022-04-04,58.92
2022-04-05,57.29
2022-04-06,53.54
2022-04-07,49.87
2022-04-08,47.72
2022-04-11,46.35
2022-04-12,47.03
2022-04-13,50.86
2022-04-14,50.46
2022-04-18,50.5
2022-04-19,54.61
2022-04-20,54.01
2022-04-21,48.13
2022-04-22,48.16
2022-04-25,53.59
2022-04-26,50.97
2022-04-27,50.26
2022-04-28,51.34
2022-04-29,47.93
2022-05-02,50.62
2022-05-03,48.8
2022-05-04,54.08
2022-05-05,47.79
2022-05-06,42.37
2022-05-09,36.92
2022-05-10,36.76
2022-05-11,34.48
2022-05-12,37.85
2022-05-13,44.54
2022-05-16,39.86
2022-05-17,40.21
2022-05-18,37.7
2022-05-19,39.03
2022-05-20,37.75
2022-05-23,37.88
2022-05-24,34.84
2022-05-25,37.09
2022-05-26,40.07
2022-05-27,42.94
2022-05-31,38.94
2022-06-01,38.33
2022-06-02,44.9
2022-06-03,40.93
2022-06-06,39.84
2022-06-07,51.0
2022-06-08,50.35
2022-06-09,49.16
2022-06-10,44.95
2022-06-13,42.52
2022-06-14,45.14
2022-06-15,47.84
2022-06-16,43.93
2022-06-17,44.01
2022-06-21,46.73
2022-06-22,47.88
2022-06-23,52.93
2022-06-24,54.36
2022-06-27,53.96
2022-06-28,51.63
2022-06-29,53.42
2022-06-30,53.14
2022-07-01,54.35
2022-07-05,59.15
2022-07-06,56.01
2022-07-07,59.09
2022-07-08,57.82
2022-07-11,57.37
2022-07-12,54.23
2022-07-13,55.72
2022-07-14,53.96
2022-07-15,56.34
2022-07-18,58.2
2022-07-19,57.4
2022-07-20,57.51
2022-07-21,58.28
2022-07-22,57.8
2022-07-25,55.56
2022-07-26,52.31
2022-07-27,54.97
2022-07-28,55.5
2022-07-29,57.4
2022-08-01,58.3
2022-08-02,60.34
2022-08-03,62.72
2022-08-04,63.33
2022-08-05,65.83
2022-08-08,66.62
2022-08-09,65.47
2022-08-10,68.33
2022-08-11,68.64
2022-08-12,69.16
2022-08-15,69.94
2022-08-16,67.59
2022-08-17,65.12
2022-08-18,64.13
2022-08-19,61.07
2022-08-22,59.31
2022-08-23,62.06
2022-08-24,63.56
2022-08-25,65.5
2022-08-26,64.43
2022-08-29,62.75
2022-08-30,62.33
2022-08-31,59.87
2022-09-01,50.53
2022-09-02,48.31
2022-09-06,47.4
2022-09-07,54.16
2022-09-08,55.28
2022-09-09,57.98
2022-09-12,61.71
2022-09-13,58.23
2022-09-14,61.21
2022-09-15,60.21
2022-09-16,57.38
2022-09-19,55.29
2022-09-20,54.14
2022-09-21,55.21
2022-09-22,50.83
2022-09-23,47.9
2022-09-26,47.32
2022-09-27,50.5
2022-09-28,52.88
2022-09-29,52.53
2022-09-30,51.22
2022-10-03,51.22
2022-10-04,54.46
2022-10-05,54.36
2022-10-06,56.76
2022-10-07,53.14
2022-10-10,49.56
2022-10-11,48.47
2022-10-12,47.52
2022-10-13,47.6
2022-10-14,41.93
2022-10-17,45.02
2022-10-18,48.26
2022-10-19,45.48
2022-10-20,46.87
2022-10-21,48.0
2022-10-24,48.87
2022-10-25,51.13
2022-10-26,47.74
2022-10-27,49.78
2022-10-28,49.05
2022-10-31,48.46
2022-11-01,46.74
2022-11-02,41.89
2022-11-03,41.6
2022-11-04,36.71
2022-11-07,35.94
2022-11-08,36.44
2022-11-09,34.22
2022-11-10,42.99
2022-11-11,45.96
2022-11-14,45.24
2022-11-15,47.64
2022-11-16,43.79
2022-11-17,41.07
2022-11-18,40.06
2022-11-21,38.22
2022-11-22,37.84
2022-11-23,39.71
2022-11-25,39.4
2022-11-28,38.85
2022-11-29,38.39
2022-11-30,39.55
2022-12-01,42.94
2022-12-02,41.27
2022-12-05,38.33
2022-12-06,41.95
2022-12-07,42.78
2022-12-08,47.43
2022-12-09,46.37
2022-12-12,49.24
2022-12-13,49.29
2022-12-14,49.7
2022-12-15,48.83
2022-12-16,49.77
2022-12-19,45.18
2022-12-20,46.46
2022-12-21,48.13
2022-12-22,45.87
2022-12-23,46.13
2022-12-27,43.95
2022-12-28,43.46
2022-12-29,45.95
2022-12-30,45.44
2023-01-03,43.93
2023-01-04,42.57
2023-01-05,38.21
2023-01-06,38.73
2023-01-09,40.16
2023-01-10,41.02
2023-01-11,43.45
2023-01-12,44.54
2023-01-13,44.97
2023-01-17,46.92
2023-01-18,46.56
2023-01-19,44.21
2023-01-20,46.27
2023-01-23,48.87
2023-01-24,47.35
2023-01-25,47.4
2023-01-26,49.65
2023-01-27,51.8
2023-01-30,48.63
2023-01-31,49.41
2023-02-01,54.15
2023-02-02,58.57
2023-02-03,52.2
2023-02-06,50.23
2023-02-07,52.16
2023-02-08,49.23
2023-02-09,42.305
2023-02-10,41.57
2023-02-13,43.24
2023-02-14,47.26
2023-02-15,49.23
2023-02-16,47.25
2023-02-17,45.45
2023-02-21,44.19
2023-02-22,44.32
2023-02-23,44.77
2023-02-24,43.36
2023-02-27,43.68
2023-02-28,44.04
2023-03-01,42.82
2023-03-02,49.98
2023-03-03,52.26
2023-03-06,51.19
2023-03-07,49.84
2023-03-08,50.03
2023-03-09,47.37
2023-03-10,44.355
2023-03-13,44.6
2023-03-14,33.96
2023-03-15,33.45
2023-03-16,35.22
2023-03-17,36.92
2023-03-20,36.25
2023-03-21,37.98
2023-03-22,36.17
2023-03-23,36.93
